LISTADET_ID, CARGO1, CARGO2, CLAVE, DESCRIPCION, DESC1, DESC2, DESC3, DESC4, DESC_F, PRECIO, PRECIO_MON, UNIDAD, LISTA_ID, PROD_ID, DESC5, DESC6, neto
"2989","0.0","0.0","CAPRB4524","ZCAPLE REV BCO 45X80 24 PTS","30.0","0.0","0.0","0.0","0.0","1915.45","MXN","MIL","84","2848","0.0","0.0","1340.82"
"2990","0.0","0.0","CAPRB9022","CAPLE REV BCO 90X125 22PTS","30.0","0.0","0.0","0.0","0.0","5949.00","MXN","MIL","84","3718","0.0","0.0","4164.30"
"2991","0.0","0.0","CAP669522","ZCAPLE R/CAFE 66X95 22 PTS","30.0","0.0","0.0","0.0","0.0","2975.68","MXN","MIL","84","1326","0.0","0.0","2082.98"
"2992","0.0","0.0","CAP7122","CAPLE R/CAFE 71X1.25 22 PTS.","30.0","0.0","0.0","0.0","0.0","4211.99","MXN","MIL","84","1700","0.0","0.0","2948.39"
"2993","0.0","0.0","CAP714916","ZCAPLE R/CAFE 71X49 16 PTS","30.0","0.0","0.0","0.0","0.0","1184.24","MXN","MIL","84","1385","0.0","0.0","828.97"
"2994","0.0","0.0","CAP7112","CAPLE R/CAFE 71X1.25 12 PTS.","30.0","0.0","0.0","0.0","0.0","2851.01","MXN","MIL","84","1803","0.0","0.0","1995.71"
"2995","0.0","0.0","CRB567418","ZCAPLE REV BCO 56X74 18PTS","30.0","0.0","0.0","0.0","0.0","1851.77","MXN","MIL","84","1143","0.0","0.0","1296.24"
"2996","0.0","0.0","CRB639016","ZCAPLE REV BCO 63X90 16PTS","30.0","0.0","0.0","0.0","0.0","2395.86","MXN","MIL","84","1383","0.0","0.0","1677.10"
"2997","0.0","0.0","CAP717016","ZCAPLE R/CAFE 71X70 16PTS","30.0","0.0","0.0","0.0","0.0","1879.75","MXN","MIL","84","1536","0.0","0.0","1315.83"
"2998","0.0","0.0","CAP497420","ZCAPLE R/CAFE 49X74 20 PTS","30.0","0.0","0.0","0.0","0.0","1577.31","MXN","MIL","84","1816","0.0","0.0","1104.12"
"2999","0.0","0.0","CAPRB7114","CAPLE REV BCO 71X125 14PTS","30.0","0.0","0.0","0.0","0.0","3483.53","MXN","MIL","84","3943","0.0","0.0","2438.47"
"3000","0.0","0.0","CAP9022","CAPLE R/CAFE 90X1.25 22 PTS.","30.0","0.0","0.0","0.0","0.0","5339.14","MXN","MIL","84","3946","0.0","0.0","3737.40"
"3001","0.0","0.0","CAP567214","ZCAPLE R/CAFE 56X72 14PTS","30.0","0.0","0.0","0.0","0.0","1418.54","MXN","MIL","84","1323","0.0","0.0","992.98"
"3002","0.0","0.0","CAP9012","CAPLE R/CAFE 90X1.25 12 PTS.","30.0","0.0","0.0","0.0","0.0","3613.95","MXN","MIL","84","3953","0.0","0.0","2529.77"
